Prescription,Drug_pair,DDI_type,Sentence,Predicted class,Score,STD
0,0_ibuprofen(ibuprofen)_bivalirudin(bivalirudin),74,"The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,,,,",74,0.96181667,5.9604645e-08
0,0_bivalirudin(bivalirudin)_ibuprofen(ibuprofen),80,"#Drug2 may increase the anticoagulant activities of #Drug1.,,,,",80,0.9988061,5.9604645e-08
1,1_ibuprofen(ibuprofen)_l-isoleucine(l-isoleucine),10,"The therapeutic efficacy of #Drug1 can be increased when used in combination with #Drug2.,,,,",10,0.9274713,0.0
2,2_ibuprofen(ibuprofen)_pyruvic acid(pyruvic acid),113,"The risk or severity of adverse effects can be increased when #Drug1 is combined with #Drug2.,,,,",113,0.97493327,0.0
2,2_pyruvic acid(pyruvic acid)_ibuprofen(ibuprofen),113,"The risk or severity of adverse effects can be increased when #Drug1 is combined with #Drug2.,,,,",113,0.8186754,5.9604645e-08
3,3_aspirin(acetylsalicylic acid)_bivalirudin(bivalirudin),74,"The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,,,,",74,0.9989213,5.9604645e-08
3,3_bivalirudin(bivalirudin)_aspirin(acetylsalicylic acid),80,"#Drug2 may increase the anticoagulant activities of #Drug1.,,,,",80,0.9936282,0.0
4,4_aspirin(acetylsalicylic acid)_l-isoleucine(l-isoleucine),10,"The therapeutic efficacy of #Drug1 can be increased when used in combination with #Drug2.,,,,",10,0.9986169,0.0
4,4_l-isoleucine(l-isoleucine)_aspirin(acetylsalicylic acid),74,"The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,,,,",74,0.46033654,0.0
5,5_aspirin(acetylsalicylic acid)_pyruvic acid(pyruvic acid),113,"The risk or severity of adverse effects can be increased when #Drug1 is combined with #Drug2.,,,,",113,0.9808146,5.9604645e-08
5,5_pyruvic acid(pyruvic acid)_aspirin(acetylsalicylic acid),74,"The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,,,,",74,0.55424684,5.9604645e-08
5,5_pyruvic acid(pyruvic acid)_aspirin(acetylsalicylic acid),113,"The risk or severity of adverse effects can be increased when #Drug1 is combined with #Drug2.,,,,",113,0.40343374,2.9802322e-08
6,6_paracetamol(acetaminophen)_bivalirudin(bivalirudin),74,"The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,,,,",74,0.96166337,5.9604645e-08
6,6_bivalirudin(bivalirudin)_paracetamol(acetaminophen),80,"#Drug2 may increase the anticoagulant activities of #Drug1.,,,,",80,0.9986003,0.0
7,7_paracetamol(acetaminophen)_l-isoleucine(l-isoleucine),10,"The therapeutic efficacy of #Drug1 can be increased when used in combination with #Drug2.,,,,",10,0.8062736,0.0
7,7_l-isoleucine(l-isoleucine)_paracetamol(acetaminophen),74,"The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,,,,",74,0.71010214,5.9604645e-08
8,8_paracetamol(acetaminophen)_pyruvic acid(pyruvic acid),113,"The risk or severity of adverse effects can be increased when #Drug1 is combined with #Drug2.,,,,",113,0.93226206,1.1920929e-07
8,8_pyruvic acid(pyruvic acid)_paracetamol(acetaminophen),113,"The risk or severity of adverse effects can be increased when #Drug1 is combined with #Drug2.,,,,",113,0.62166613,5.9604645e-08
